"district","city","DP","LP","PP","ETC"
"Busan","중구",0.3478,0.3747,0.1639,0.1136
"Busan","서구",0.3446,0.3704,0.1668,0.1182
"Busan","동구",0.3375,0.382,0.1689,0.1116
"Busan","영도구",0.3875,0.3263,0.1684,0.1178
"Busan","부산진구",0.3876,0.3244,0.1657,0.1223
"Busan","동래구",0.3765,0.3303,0.1673,0.1259
"Busan","남구",0.3783,0.3263,0.1707,0.1247
"Busan","북구",0.4122,0.3016,0.1613,0.1249
"Busan","해운대구",0.3839,0.3042,0.1817,0.1302
"Busan","기장군",0.419,0.2823,0.1691,0.1296
"Busan","사하구",0.3909,0.3093,0.174,0.1258
"Busan","금정구",0.3682,0.333,0.1636,0.1352
"Busan","강서구",0.4499,0.2734,0.1553,0.1214
"Busan","연제구",0.3825,0.3225,0.17,0.125
"Busan","수영구",0.3682,0.3356,0.1711,0.1251
"Busan","사상구",0.4138,0.3119,0.1543,0.12
"Daegu","중구",0.2209,0.4754,0.138,0.1657
"Daegu","동구",0.2099,0.4441,0.139,0.207
"Daegu","서구",0.1732,0.5415,0.1402,0.1451
"Daegu","남구",0.1994,0.5051,0.1403,0.1552
"Daegu","북구",0.2269,0.4405,0.1537,0.1789
"Daegu","수성구",0.2282,0.4326,0.1536,0.1856
"Daegu","달서구",0.2217,0.4443,0.1553,0.1787
"Daegu","달성군",0.2313,0.4373,0.156,0.1754
"Daejeon","동구",0.4021,0.2305,0.2425,0.1249
"Daejeon","중구",0.3962,0.2402,0.2392,0.1244
"Daejeon","서구",0.4356,0.1943,0.2306,0.1395
"Daejeon","유성구",0.4751,0.163,0.2165,0.1454
"Daejeon","대덕구",0.4052,0.217,0.2428,0.135
"Gangwon","춘천시",0.3818,0.2483,0.2209,0.149
"Gangwon","원주시",0.381,0.2495,0.225,0.1445
"Gangwon","강릉시",0.3155,0.3372,0.2041,0.1432
"Gangwon","동해시",0.3109,0.3439,0.2052,0.14
"Gangwon","삼척시",0.3081,0.3646,0.1868,0.1405
"Gangwon","태백시",0.3419,0.3594,0.1778,0.1209
"Gangwon","정선군",0.3488,0.351,0.1893,0.1109
"Gangwon","속초시",0.3216,0.2967,0.2358,0.1459
"Gangwon","고성군",0.3058,0.3515,0.214,0.1287
"Gangwon","양양군",0.2829,0.377,0.2181,0.122
"Gangwon","인제군",0.32,0.2925,0.2316,0.1559
"Gangwon","홍천군",0.3194,0.3124,0.2311,0.1371
"Gangwon","횡성군",0.3016,0.3559,0.2212,0.1213
